19:49:04.372 INFO  utilities.Report -attachHTMLReport -INTEND TO ATTACH HTML REPORT TO EXTENT REPORT
19:49:04.763 INFO  utilities.Report -attachHTMLReport -SUCCESSFULLY ATTACHED HTML REPORT TO EXTENT REPORT
19:49:04.764 INFO  utilities.Report -initialize -SUCCESSFULLY CREATED AN INSTANCE OF EXTENT REPORT WITH NAME(FlipKart.html) AND APPEND STATUS(false)
19:49:04.764 INFO  utilities.Report -recordSystemInfo -INTEND TO ADD SYSTEM INFORMATION IN EXTENT REPORT
19:49:04.764 INFO  utilities.Report -recordSystemInfo -SUCCESSFULLY ADDED SYSTEM INFORMATION(Operating System : Windows 7) IN EXTENT REPORT
19:49:04.765 INFO  utilities.Report -recordSystemInfo -INTEND TO ADD SYSTEM INFORMATION IN EXTENT REPORT
19:49:04.765 INFO  utilities.Report -recordSystemInfo -SUCCESSFULLY ADDED SYSTEM INFORMATION(Java : 1.8) IN EXTENT REPORT
19:49:04.765 INFO  utilities.Report -recordSystemInfo -INTEND TO ADD SYSTEM INFORMATION IN EXTENT REPORT
19:49:04.765 INFO  utilities.Report -recordSystemInfo -SUCCESSFULLY ADDED SYSTEM INFORMATION(Selenium Version : 3.4) IN EXTENT REPORT
19:49:04.765 INFO  accelarators.Base -setup -BEFORE CLASS EXECUTED SUCCESSFULLY
19:49:04.779 INFO  utilities.DataProviderRepository -dataProviderMethod -INTEND TO READ THE TEST DATA USING DATAPROVIDER FROM EXCEL WORKBOOK
19:49:04.787 INFO  utilities.Excel -getTestDataAsTwoDimesionalObjectArray -INTEND TO READ THE TEST DATA AS TWO DIMENSIONAL OBJECT ARRAY
19:49:04.788 INFO  utilities.Excel -getToSheet -INTEND TO READ THE SPECIFIED EXCEL SHEET
19:49:04.789 INFO  utilities.Excel -getToFile -INTEND TO READ THE SPECIFIED EXCEL FILE
19:49:04.789 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:04.789 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:04.790 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:04.790 INFO  accelarators.Base -formatGiven -INTENDED TO CHECK IF THE FILE NAME HAS THE FILE EXTENSION
19:49:04.790 INFO  accelarators.Base -formatGiven -FILE FORMAT IS PROVIDED WITH THE FILE NAME(\GmailTestData.xlsx)
19:49:04.790 INFO  accelarators.Base -formatGiven -SUCCESSFULLY CHECKED IF THE FILE NAME HAS THE FILE EXTENSION
19:49:04.790 INFO  accelarators.Base -getFileFormat -INTENDED TO RETRIEVE THE FORMAT OF THE FILE
19:49:04.790 INFO  accelarators.Base -getFileFormat -SUCCESSFULLY GOT THE FILE FORMAT(.xlsx) FROM THE FILE NAME(\GmailTestData.xlsx)

19:49:04.791 INFO  accelarators.Base -getFileFormat -SUCCESSFULLY RETRIEVED THE FORMAT OF THE FILE
19:49:04.791 INFO  accelarators.Base -fileFormatIs -INTENDED TO CHECK IF THE FILE BELONGS TO THE GIVEN FORMAT
19:49:04.791 INFO  accelarators.Base -fileFormatIs -EXPECTED AND ACTUAL FILE FORMATS ARE THE SAME
19:49:04.791 INFO  accelarators.Base -fileFormatIs -SUCCESSFULLY CHECKED IF THE FILE BELONGS TO THE GIVEN FORMAT
19:49:04.792 INFO  accelarators.Base -createFileInstance -INTENDED TO CREATE THE FILE INSTANCE
19:49:04.792 INFO  accelarators.Base -createFileInstance -FILE INSTANCE CREATED
19:49:04.792 INFO  accelarators.Base -createFileInstance -SUCCESSFULLY CREATED THE FILE INSTANCE
19:49:04.792 INFO  accelarators.Base -readFile -INTENDED TO READ THE GIVEN FILE
19:49:04.793 INFO  accelarators.Base -readFile -SUCCESSFULLY READ THE FILE(D:\WorkspaceProject\FlipKart\TestData\GmailTestData.xlsx) SPECIFIED
19:49:04.793 INFO  accelarators.Base -readFile -READING THE FILE IS SUCCESSFUL
19:49:04.794 INFO  utilities.Excel -createWorkBookInstance -INTEND TO CREATE AN WORKBOOK INSTANCE BASED ON THE EXCEL FILE FORMAT
19:49:04.794 INFO  accelarators.Base -fileFormatIs -INTENDED TO CHECK IF THE FILE BELONGS TO THE GIVEN FORMAT
19:49:04.794 INFO  accelarators.Base -fileFormatIs -EXPECTED AND ACTUAL FILE FORMATS ARE THE SAME
19:49:04.794 INFO  accelarators.Base -fileFormatIs -SUCCESSFULLY CHECKED IF THE FILE BELONGS TO THE GIVEN FORMAT
19:49:06.656 INFO  utilities.Excel -createWorkBookInstance -SUCCESSFULLY CREATED AN INSTANCE OF XSSFWORKBOOK CLASS
19:49:06.657 INFO  utilities.Excel -createWorkBookInstance -SUCCESSFULLY CREATED AN WORKBOOK INSTANCE BASED ON THE EXCEL FILE FORMAT
19:49:06.657 INFO  utilities.Excel -getToFile -SUCCESSFULLY READ THE EXCEL FILE(\GmailTestData.xlsx)
19:49:06.657 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:06.657 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:06.657 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:06.657 INFO  utilities.Excel -sheetPresent -INTEND TO VERIFY WHETHER THE SPECIFIED EXCEL SHEET IS PRESENT OR NOT
19:49:06.671 INFO  utilities.Excel -sheetPresent -(TestData) IS PRESENT
19:49:06.671 INFO  utilities.Excel -sheetPresent -SUCCESSFULLY VERIFIED WHETHER THE EXCEL SHEET(TestData) IS PRESENT OR NOT
19:49:06.672 INFO  utilities.Excel -getToSheet -SUCCESSFULLY READ THE EXCEL SHEET(TestData)
19:49:06.679 INFO  utilities.Excel -getCellValue -INTEND TO READ THE CELL VALUE
19:49:06.698 INFO  accelarators.Base -fileFormatIs -INTENDED TO CHECK IF THE FILE BELONGS TO THE GIVEN FORMAT
19:49:06.699 INFO  accelarators.Base -fileFormatIs -EXPECTED AND ACTUAL FILE FORMATS ARE THE SAME
19:49:06.699 INFO  accelarators.Base -fileFormatIs -SUCCESSFULLY CHECKED IF THE FILE BELONGS TO THE GIVEN FORMAT
19:49:06.736 INFO  utilities.Excel -getCellValue -SUCCESSFULLY CREATED AN INSTANCE OF XSSFFORMULAEVALUATOR
19:49:06.746 INFO  utilities.Excel -getCellValue -SUCCESSFULLY READ THE CELL VALUE(userName~9849530029
password~satish@123)
19:49:06.746 INFO  utilities.Excel -getTestDataAsTwoDimesionalObjectArray -SUCCESSFULLY READ THE TEST DATA AS TWO DIMENSIONAL OBJECT ARRAY FROM THE EXCEL SHEET(TestData) IN THE EXCEL FILE(\GmailTestData.xlsx) UNDER THE LOCATION(D:\WorkspaceProject\FlipKart\TestData)
19:49:06.746 INFO  utilities.DataProviderRepository -dataProviderMethod -SUCCESSFULLY READ THE TEST DATA FOR (public void com.flipkart.testScripts.FlipKartTestCase.FlipKart_TC1(java.lang.String) throws java.lang.InterruptedException,com.flipkart.utilities.MyOwnException) SECURITY TYPE USING DATAPROVIDER FROM EXCEL WORKBOOK
19:49:06.773 INFO  testScripts.FlipKartTestCase -FlipKart_TC1 -METHOD(IU_TC1) EXECUTION STARTED SUCCESSFULLY
19:49:06.773 INFO  testScripts.FlipKartTestCase -RetrievingMapData -METHOD(RetrievingMapData) EXECUTION STARTED SUCCESSFULLY
19:49:06.773 INFO  accelarators.ActionDriver -splitToMap -METHOD(splitToMap) EXECUTION STARTED SUCCESSFULLY
19:49:06.817 INFO  accelarators.ActionDriver -splitToMap -METHOD(splitToMap) EXECUTED SUCCESSFULLY
19:49:06.817 INFO  testScripts.FlipKartTestCase -RetrievingMapData -METHOD(RetrievingMapData) EXECUTED SUCCESSFULLY
19:49:06.817 INFO  utilities.Report -makeTestCaseEntry -INTEND TO CREATE AN INSTANCE OF TEST CASE WITH NAME IN EXTENT REPORT
19:49:06.817 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:06.818 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:06.818 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:06.821 INFO  utilities.Report -makeTestCaseEntry -SUCCESSFULY CREATED AN INSTANCE OF TEST CASE WITH NAME(HealthChoice_Testing) IN EXTENT REPORT
19:49:06.822 INFO  utilities.Report -assignCategoryToTestCase -INTEND TO ASSIGN CATAGORY TO A TEST CASE IN EXTENT REPORT
19:49:06.864 INFO  utilities.Report -assignCategoryToTestCase -SUCCESSFULY ASSIGNED THE CATAGORY(TC1) TO A TEST CASE IN EXTENT REPORT
19:49:06.865 INFO  pageObjects.FlipKartWorkFlow -FlipKart_Login -WORKFLOW(newTrackerListingProcess) EXECUTION STARTED SUCCESSFULLY
19:49:06.961 INFO  pageObjects.FlipKartCommonPage -initiateBrowser -METHOD(initiateBrowser) EXECUTION STARTED SUCCESSFULLY
19:49:19.569 INFO  pageObjects.FlipKartCommonPage -initiateBrowser -Initiated Chrome session
19:49:21.111 INFO  pageObjects.FlipKartCommonPage -initiateBrowser -METHOD(initiateBrowser) EXECUTED SUCCESSFULLY
19:49:30.426 INFO  pageObjects.FlipKartLoginPage -login -METHOD(login) EXECUTION STARTED SUCCESSFULLY
19:49:35.449 INFO  methods.MyWait -until -INTEND TO PAUSE THE EXECUTION EXPLICITLY
19:49:35.867 INFO  accelarators.Base -notEmpty -INTENDED TO CHECK IF THE STRING IS EMPTY
19:49:35.867 INFO  accelarators.Base -notEmpty -STRING IS NOT EMPTY
19:49:35.867 INFO  accelarators.Base -notEmpty -SUCCESSFULLY CHECKED IF THE STRING IS EMPTY
19:49:38.008 INFO  methods.MyWait -until -PAUSED THE EXECUTION EXPLICITLY UNTIL (ELEMENT_VISIBLE) FOR (90) SECONDS
19:49:38.011 INFO  methods.MyWebElement -enterText -INTEND TO ENTER TEXT INSIDE SPECIFIED WEBELEMENT
19:49:38.011 INFO  methods.MyWebElement -isDisplayedOrNot -INTEND TO VERIFY WHETHER SPECIFIED WEBELEMENT IS DISPLAYED OR NOT
19:49:38.069 INFO  methods.MyWebElement -isDisplayedOrNot -WEBELEMENT([[ChromeDriver: chrome on XP (59b3806a94c017368783d5da517b1c33)] -> xpath: /html/body/div[2]/div/div/div/div/div[2]/div/form/div[1]/input]) IS DISPLAYED
19:49:38.084 INFO  methods.MyWebElement -isDisplayedOrNot -SUCCESSFULLY VERIFIED WETHER THE SPECIFIED WEBELEMENT([[ChromeDriver: chrome on XP (59b3806a94c017368783d5da517b1c33)] -> xpath: /html/body/div[2]/div/div/div/div/div[2]/div/form/div[1]/input]) IS DISPLAYED OR NOT
